check,variant,gold,n,candidate_accuracy,ci95_low,ci95_high,format_rate,free_accuracy,mean_yes_minus_no
broken,first,No,100,0.14,0.08526265754464905,0.22137360383807236,1.0,0.2,0.0665625
broken,second,No,100,0.11,0.06254131955225126,0.18631463027903022,1.0,0.17,0.06765625
direct,base,No,100,0.14,0.08526265754464905,0.22137360383807236,1.0,0.19,0.0771875
direct,base,Yes,100,0.88,0.8018773199709163,0.9300066263473222,1.0,0.88,0.1071875
robustness,distractors,No,100,0.03,0.010254338223414816,0.08452078080402699,1.0,0.04,0.155
robustness,distractors,Yes,100,1.0,0.9630051925239981,0.9999999999999999,1.0,1.0,0.21234375
robustness,rename,No,100,0.0,0.0,0.03699480747600191,1.0,0.0,0.1215625
robustness,rename,Yes,100,0.89,0.8136853697209698,0.9374586804477487,1.0,0.89,0.0828125
robustness,reorder,No,100,0.38,0.2909744920013438,0.47790426179289663,1.0,0.46,0.01515625
robustness,reorder,Yes,100,0.79,0.7001985069803768,0.8583445046835422,1.0,0.79,0.06078125
twohop,base,No,100,0.37,0.28182212569509163,0.46779652424866885,1.0,0.48,0.01421875
twohop,base,Yes,100,0.74,0.6462882736813838,0.8159542187301354,1.0,0.74,0.0565625
