check,variant,gold,n,candidate_accuracy,tie_rate,ci95_low,ci95_high,format_rate,free_accuracy,mean_yes_minus_no
broken,first,No,100,1.0,0.0,0.9630051925239981,0.9999999999999999,1.0,1.0,-0.6171874934434891
broken,second,No,100,1.0,0.0,0.9630051925239981,0.9999999999999999,1.0,1.0,-0.6210937437415123
direct,base,No,100,1.0,0.0,0.9630051925239981,0.9999999999999999,1.0,1.0,-0.5906250074505806
direct,base,Yes,100,0.0,0.0,0.0,0.03699480747600191,1.0,0.0,-0.5562500005960465
robustness,distractors,No,100,0.74,0.02,0.6462882736813838,0.8159542187301354,1.0,0.76,-0.09515625059604645
robustness,distractors,Yes,100,0.22,0.02,0.15001174503655804,0.3107053471500031,1.0,0.22,-0.09703125
robustness,rename,No,100,1.0,0.0,0.9630051925239981,0.9999999999999999,1.0,1.0,-0.5910937514901161
robustness,rename,Yes,100,0.0,0.0,0.0,0.03699480747600191,1.0,0.0,-0.5696875
robustness,reorder,No,100,1.0,0.0,0.9630051925239981,0.9999999999999999,1.0,1.0,-0.5949999949336052
robustness,reorder,Yes,100,0.0,0.0,0.0,0.03699480747600191,1.0,0.0,-0.5964062455296516
twohop,base,No,100,1.0,0.0,0.9630051925239981,0.9999999999999999,1.0,1.0,-0.5889062511920929
twohop,base,Yes,100,0.0,0.0,0.0,0.03699480747600191,1.0,0.0,-0.5954687517881393
