check,variant,gold,n,candidate_accuracy,tie_rate,ci95_low,ci95_high,format_rate,free_accuracy,mean_yes_minus_no
broken,first,No,100,1.0,0.0,0.9630051925239981,0.9999999999999999,1.0,1.0,-0.5692187502980233
broken,second,No,100,1.0,0.0,0.9630051925239981,0.9999999999999999,1.0,1.0,-0.5656250038743019
direct,base,No,100,0.99,0.0,0.9455124752390653,0.9982326134344526,1.0,0.99,-0.5545312505960465
direct,base,Yes,100,0.01,0.0,0.0017673865655472645,0.0544875247609346,1.0,0.01,-0.4982812494039536
robustness,distractors,No,100,1.0,0.0,0.9630051925239981,0.9999999999999999,1.0,1.0,-0.4946874979138374
robustness,distractors,Yes,100,0.03,0.0,0.010254338223414816,0.08452078080402699,1.0,0.03,-0.4628124970197678
robustness,rename,No,100,1.0,0.0,0.9630051925239981,0.9999999999999999,1.0,1.0,-0.5954687494039536
robustness,rename,Yes,100,0.0,0.0,0.0,0.03699480747600191,1.0,0.0,-0.5442187494039535
robustness,reorder,No,100,1.0,0.0,0.9630051925239981,0.9999999999999999,1.0,1.0,-0.5823437508940696
robustness,reorder,Yes,100,0.01,0.0,0.0017673865655472645,0.0544875247609346,1.0,0.01,-0.5573437464237213
twohop,base,No,100,1.0,0.0,0.9630051925239981,0.9999999999999999,1.0,1.0,-0.5796874958276749
twohop,base,Yes,100,0.0,0.0,0.0,0.03699480747600191,1.0,0.0,-0.559375
